id,date,text,emotion
1,2024-01-01,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,happy
2,2024-01-02,i have been with petronas for years i feel that petronas has performed well and made a huge profit,happy
3,2024-01-03,i feel romantic too,happy
4,2024-01-04,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,happy
5,2024-01-05,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,happy
6,2024-01-06,i do not feel reassured anxiety is on each side,happy
7,2024-01-07,i have the feeling she was amused and delighted,happy
8,2024-01-08,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,happy
9,2024-01-09,i feel more superior dead chicken or grieving child,happy
10,2024-01-10,i get giddy over feeling elegant in a perfectly fitted pencil skirt,happy
11,2024-01-11,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,happy
12,2024-01-12,i am not sure what would make me feel content if anything,happy
13,2024-01-13,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,neutral
14,2024-01-14,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,neutral
15,2024-01-15,i am now nearly finished the week detox and i feel amazing,neutral
16,2024-01-16,i started feeling funny and then friday i woke up sick as a dog,neutral
17,2024-01-17,i didnt feel humiliated,neutral
18,2024-01-18,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,neutral
19,2024-01-19,im grabbing a minute to post i feel greedy wrong,anger
20,2024-01-20,i am feeling grouchy,anger
21,2024-01-21,i feel as confused about life as a teenager or as jaded as a year old man,fear
22,2024-01-22,i feel like i have to make the suffering i m seeing mean something,sad 
23,2024-01-23,i think it s the easiest time of year to feel dissatisfied,anger
24,2024-01-24,i feel low energy i m just thirsty,sad 
25,2024-01-25,i now feel compromised and skeptical of the value of every unit of work i put in,fear
26,2024-01-26,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear
27,2024-01-27,i already feel like i fucked up though because i dont usually eat at all in the morning,anger
28,2024-01-28,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sad 
29,2024-01-29,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sad 
30,2024-01-30,i remember feeling acutely distressed for a few days,fear
